year,boundary,value,dataset,project
2000,pa,0.0,mapbiomas,1113
2001,pa,31.25,mapbiomas,1113
2002,pa,12.5,mapbiomas,1113
2003,pa,0.0,mapbiomas,1113
2004,pa,6.25,mapbiomas,1113
2005,pa,18.75,mapbiomas,1113
2006,pa,6.25,mapbiomas,1113
2007,pa,6.25,mapbiomas,1113
2008,pa,6.25,mapbiomas,1113
2009,pa,18.75,mapbiomas,1113
2010,pa,12.5,mapbiomas,1113
2011,pa,18.75,mapbiomas,1113
2012,pa,25.0,mapbiomas,1113
2013,pa,50.0,mapbiomas,1113
2014,pa,68.75,mapbiomas,1113
2015,pa,18.75,mapbiomas,1113
2016,pa,12.5,mapbiomas,1113
2017,pa,18.75,mapbiomas,1113
2018,pa,50.0,mapbiomas,1113
2019,pa,25.0,mapbiomas,1113
2020,pa,43.75,mapbiomas,1113
2000,rrd,34368.75,mapbiomas,1113
2001,rrd,33375.0,mapbiomas,1113
2002,rrd,54025.0,mapbiomas,1113
2003,rrd,51856.25,mapbiomas,1113
2004,rrd,34900.0,mapbiomas,1113
2005,rrd,34918.75,mapbiomas,1113
2006,rrd,23968.75,mapbiomas,1113
2007,rrd,18875.0,mapbiomas,1113
2008,rrd,16818.75,mapbiomas,1113
2009,rrd,15143.75,mapbiomas,1113
2010,rrd,18293.75,mapbiomas,1113
2011,rrd,14600.0,mapbiomas,1113
2012,rrd,12743.75,mapbiomas,1113
2013,rrd,15381.25,mapbiomas,1113
2014,rrd,19050.0,mapbiomas,1113
2015,rrd,21575.0,mapbiomas,1113
2016,rrd,20231.25,mapbiomas,1113
2017,rrd,22325.0,mapbiomas,1113
2018,rrd,24306.25,mapbiomas,1113
2019,rrd,31018.75,mapbiomas,1113
2020,rrd,42550.0,mapbiomas,1113
2000,pa,0.0,hansen,1113
2001,pa,237.5,hansen,1113
2002,pa,93.75,hansen,1113
2003,pa,131.25,hansen,1113
2004,pa,156.25,hansen,1113
2005,pa,193.75,hansen,1113
2006,pa,75.0,hansen,1113
2007,pa,100.0,hansen,1113
2008,pa,268.75,hansen,1113
2009,pa,206.25,hansen,1113
2010,pa,81.25,hansen,1113
2011,pa,68.75,hansen,1113
2012,pa,750.0,hansen,1113
2013,pa,250.0,hansen,1113
2014,pa,300.0,hansen,1113
2015,pa,150.0,hansen,1113
2016,pa,287.5,hansen,1113
2017,pa,406.25,hansen,1113
2018,pa,112.5,hansen,1113
2019,pa,137.5,hansen,1113
2020,pa,212.5,hansen,1113
2000,rrd,0.0,hansen,1113
2001,rrd,117612.5,hansen,1113
2002,rrd,87168.75,hansen,1113
2003,rrd,48943.75,hansen,1113
2004,rrd,84437.5,hansen,1113
2005,rrd,265206.25,hansen,1113
2006,rrd,51600.0,hansen,1113
2007,rrd,43493.75,hansen,1113
2008,rrd,68112.5,hansen,1113
2009,rrd,43025.0,hansen,1113
2010,rrd,60068.75,hansen,1113
2011,rrd,55431.25,hansen,1113
2012,rrd,80218.75,hansen,1113
2013,rrd,63475.0,hansen,1113
2014,rrd,78287.5,hansen,1113
2015,rrd,66162.5,hansen,1113
2016,rrd,120462.5,hansen,1113
2017,rrd,114093.75,hansen,1113
2018,rrd,100331.25,hansen,1113
2019,rrd,98562.5,hansen,1113
2020,rrd,113025.0,hansen,1113
2000,pa,37.5,tmf,1113
2001,pa,37.5,tmf,1113
2002,pa,25.0,tmf,1113
2003,pa,62.5,tmf,1113
2004,pa,68.75,tmf,1113
2005,pa,50.0,tmf,1113
2006,pa,37.5,tmf,1113
2007,pa,31.25,tmf,1113
2008,pa,37.5,tmf,1113
2009,pa,81.25,tmf,1113
2010,pa,87.5,tmf,1113
2011,pa,31.25,tmf,1113
2012,pa,18.75,tmf,1113
2013,pa,37.5,tmf,1113
2014,pa,43.75,tmf,1113
2015,pa,43.75,tmf,1113
2016,pa,50.0,tmf,1113
2017,pa,56.25,tmf,1113
2018,pa,75.0,tmf,1113
2019,pa,125.0,tmf,1113
2020,pa,50.0,tmf,1113
2000,rrd,33368.75,tmf,1113
2001,rrd,37931.25,tmf,1113
2002,rrd,59468.75,tmf,1113
2003,rrd,41525.0,tmf,1113
2004,rrd,40700.0,tmf,1113
2005,rrd,75356.25,tmf,1113
2006,rrd,26356.25,tmf,1113
2007,rrd,16800.0,tmf,1113
2008,rrd,20618.75,tmf,1113
2009,rrd,16506.25,tmf,1113
2010,rrd,29350.0,tmf,1113
2011,rrd,23681.25,tmf,1113
2012,rrd,15062.5,tmf,1113
2013,rrd,27837.5,tmf,1113
2014,rrd,26406.25,tmf,1113
2015,rrd,36687.5,tmf,1113
2016,rrd,40993.75,tmf,1113
2017,rrd,30318.75,tmf,1113
2018,rrd,29293.75,tmf,1113
2019,rrd,42206.25,tmf,1113
2020,rrd,30281.25,tmf,1113
